Name,Genres,Studios,Synopsis,Score
Ansatsu Kyoushitsu: Deai no Jikan,"Action, Comedy",Lerche,"Koro-sensei reminisces about his first meeting with Karasuma, where they first butted heads and fought against each other, ultimately coming to respect one another. However, Karasuma eventually points out their actual meeting wasn't nearly as eventful.

(Source: ANN)",7.43
Detective Conan Movie 19: The Hellfire Sunflowers,"Action, Mystery",TMS Entertainment,"Kaitou Kid and Vincent van Gogh's artworks feature heavily in the movie, according to an interview with Gosho Aoyama. The teaser preview at the end of Dimensional Sniper included references to van Gogh's ""Sunflowers"" series.

(Source: Wikipedia)",7.72
Sidonia no Kishi Movie,"Action, Sci-Fi",Polygon Pictures,A recap of the first season of Sidonia no Kishi with additional scenes and re-edited sound effects.,7.24
Rokka no Yuusha,"Action, Adventure, Fantasy, Mystery",Passione,"An ancient legend states that with the revival of the Demon God, six heroes—the Braves of the Six Flowers—will be chosen by the Goddess of Fate, granting them power to rise up against the fiends attempting to turn the world into a living hell. Adlet Mayer, self-proclaimed ""Strongest Man in the World,"" has arrived at the continent of Piena in hopes of becoming a Brave. Although it doesn't go as smoothly as he had planned, Adlet is ultimately chosen as one of the six heroes shortly after being greeted by Nashetania Loei Piena Augustra, crown princess and fellow Brave.

Rokka no Yuusha follows the two as they embark upon their destined journey to fight the Demon God, intending to meet up with their fellow heroes at a small temple outside of the Land of the Howling Demons, the fiends' domain. However, when they finally unite, seven heroes are present, and soon the others begin to suspect Adlet to be a fraud. Now on the run, Adlet must utilize his unique skill set and wit in a fight for his life to identify which member of the group is the true impostor before it's too late!",7.28
Garo Movie: Divine Flame,"Action, Fantasy",MAPPA,"Leon, who has succeeded the name of Golden Knight ""GARO,"" devotes himself to train a young Makai Knight for the next generation, together with Prince Alfonso of the Valiante Kingdom. Then, they receive an order to exterminate the most beautiful Horror in the world which resides in a neighboring country ""Vazelia."" At the same time, a young Makai Knight for the next generation is kidnapped by an unknown person. Leon desperately follows them, only to find that he is surrounded by his enemies at a dead end. Then, a Makai Knight Dario who was supposed to be missing for some time suddenly appears and rescues him. Under his guidance, Leon is led to the town where he meets up a totally unexpected person.

(Source: ANN)",7.55
Hetalia: The World Twinkle,Comedy,Studio Deen,"United Kingdom and America have to put aside their centuries of differences and cooperate if they want to stand a chance against Italy and Germany on the African Front. After being defeated by a questionable border defense system, France swears vengeance on Germany. In another part of the world, the Nordic countries discuss how similar they are to each other, much to Finland's dismay. Meanwhile, Sealand embarks on a very ambitious quest to search for the other micronations after befriending Wy and Seborga.",7.2
Subete ga F ni Naru,"Mystery, Sci-Fi",A-1 Pictures,"In a research facility hidden away on a remote island, genius programmer Shiki Magata has lived as a recluse for years. She rarely sees guests, but associate professor Souhei Saikawa and university student Moe Nishinosono still seek her out. However, their meeting is cut short when they are caught up in a locked-room murder mystery. 

Everything is not as it seems, and many secrets are hidden. Within an isolated facility, a seemingly impossible and gruesome crime takes place, and Saikawa and Moe must unravel the truth behind the murder and Magata's shrouded past.",7.25
Koutetsujou no Kabaneri,"Action, Drama, Fantasy, Horror",Wit Studio,"The world is in the midst of the industrial revolution when horrific creatures emerge from a mysterious virus, ripping through the flesh of humans to sate their never-ending appetite. The only way to kill these beings, known as ""Kabane,"" is by destroying their steel-coated hearts. However, if bitten by one of these monsters, the victim is doomed to a fate worse than death, as the fallen rise once more to join the ranks of their fellow undead.

Only the most fortified of civilizations have survived this turmoil, as is the case with the island of Hinomoto, where mankind has created a massive wall to protect themselves from the endless hordes of Kabane. The only way into these giant fortresses is via heavily-armored trains, which are serviced and built by young men such as Ikoma. Having created a deadly weapon that he believes will easily pierce through the hearts of Kabane, Ikoma eagerly awaits the day when he will be able to fight using his new invention. Little does he know, however, that his chance will come much sooner than he expected...",7.27
Go! Princess Precure,"Action, Comedy, Fantasy",Toei Animation,"Ever since she was young, Haruka Haruno has always aspired to become a princess. Despite being mocked for this seemingly childish wish, Haruka perseveres to make her dream a reality, ultimately culminating in her acceptance into the prestigious Noble Academy—the birthplace of people's fantasies.

When Haruka arrives at her new school, a chance encounter with a pair of magical creatures influences a series of unbelievable events, and Haruka awakens as ""Cure Flora,"" the princess of blooming flowers. After two of Haruka's classmates also transform into legendary princesses, a story of self-discovery unfolds as the newfound team ""Princess Precure"" carries the responsibility of protecting everyone's dreams. Engaged in a battle between hope and despair, Haruka may find the key toward becoming the princess she has always dreamed to be.",7.8
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,"Action, Fantasy, Romance",Kyoto Animation,"After Akihito Kanbara reunites with Mirai Kuriyama—whom he believed had vanished after defeating Beyond the Boundary—he discovers a heartbreaking fact: Mirai has lost all memory of him, their friends, and her past as a Spirit Warrior. Akihito is utterly devastated, but realizes that she has a unique opportunity. Mirai can finally live the life of a normal girl—where she'll be completely devoid of the supernatural society that both shunned and used her. While it's all for the sake of Mirai's happiness, the price is costly—Akihito and his friends must keep her true origins a secret from her, and as a result avoid befriending her. 

However, the troubling memories of Mirai's old life gradually begin to resurface, and a mysterious new evil leads a group of shadow-like creatures into the city with the goal of seeking her out. As the situations become dire, Akihito must fight to protect himself, his closest friends, and Mirai—the bespectacled beauty he holds most dear.",8.15
Yamada-kun to 7-nin no Majo,"Comedy, Mystery, Romance, Supernatural",LIDENFILMS,"When Ryuu Yamada entered high school, he wanted to turn over a new leaf and lead a productive school life. That is why he chose to attend Suzaku High School, where no one would know of his violent delinquent reputation. However, much to Ryuu's dismay, he is soon bored; now a second year, Ryuu has reverted to his old ways—lazy with abysmal grades and always getting into fights.

One day, back from yet another office visit, Ryuu encounters Urara Shiraishi, a beautiful honors student. A misstep causes them both to tumble down the stairs, ending in an accidental kiss! The pair discover they can switch bodies with a kiss: an ability which will prove to be both convenient and troublesome.
 
Learning of their new power, Toranosuke Miyamura, a student council officer and the single member of the Supernatural Studies Club, recruits them for the club. Soon joined by Miyabi Itou, an eccentric interested in all things supernatural, the group unearths the legend of the Seven Witches of Suzaku High, seven female students who have obtained different powers activated by a kiss. The Supernatural Studies Club embarks on its first quest: to find the identities of all the witches.",7.55
One Piece: Episode of Alabasta - Prologue,"Action, Adventure, Fantasy",Toei Animation,"Prologue to the movie, showing the Whiskey Peak arc, exclusive to some TV airings of the movie.

(Source: AniDB)",7.19
Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Supernatural",ufotable,"In the midst of the Fifth Holy Grail War, Caster sets her plans into motion, beginning with the capture of Shirou's Servant Saber. With the witch growing ever more powerful, Rin and Archer determine she is a threat that must be dealt with at once. But as the balance of power in the war begins to shift, the Master and Servant find themselves walking separate ways.

Meanwhile, despite losing his Servant and stumbling from injuries, Shirou ignores Rin's warning to abandon the battle royale, forcing his way into the fight against Caster. Determined to show his resolve in his will to fight, Shirou's potential to become a protector of the people is put to the test.

Amidst the bloodshed and chaos, the motivations of each Master and Servant are slowly revealed as they sacrifice everything in order to arise as the victor and claim the Holy Grail.",8.32
Kokoro ga Sakebitagatterunda.,"Drama, Romance",A-1 Pictures,"Jun Naruse is a chatterbox whose life is colored by fairy tales and happy endings. However, influenced by her deep belief in those tales, she is too naive and trusting, and her words soon shatter her family's bond when she inadvertently reveals her father's affair. Naruse is scarred for life after being blamed for her parent's divorce, and her regrets soon manifest into a fairy egg—a being who seals her mouth from speaking in order to protect everyone's happy ending.

Now, even in high school, Naruse's speech remains locked by the fairy egg. Even trying to speak causes her stomach to twist. Though unable to convey her thoughts through words, she is unexpectedly chosen to perform in a musical alongside three other students: Takumi Sakagami, Natsuki Nitou, and Daiki Tasaki. Naruse makes her way to the club room to reject the daunting task, but changes her mind when she overhears Sakagami's beautiful singing.

Perhaps the fairy egg ""curse"" does not apply to singing, and perhaps Sakagami is the fairy tale prince she has been seeking all along. Will Naruse be able to convey the anthem of her heart?",7.83
Shouwa Genroku Rakugo Shinjuu,Drama,Studio Deen,"Yotarou is a former yakuza member fresh out of prison and fixated on just one thing: rather than return to a life of crime, the young man aspires to take to the stage of rakugo, a traditional Japanese form of comedic storytelling. Inspired during his incarceration by the performance of distinguished practitioner Yakumo Yuurakutei, he sets his mind on meeting the man who changed his life. After hearing Yotarou's desperate appeal for his mentorship, Yakumo is left with no choice but to accept his very first apprentice.

As he eagerly begins his training, Yotarou meets Konatsu, an abrasive young woman who has been under Yakumo's care ever since her beloved father Sukeroku Yuurakutei, another prolific rakugo performer, passed away. Through her hidden passion, Yotarou is drawn to Sukeroku's unique style of rakugo despite learning under contrasting techniques. Upon seeing this, old memories and feelings return to Yakumo who reminisces about a much earlier time when he made a promise with his greatest rival.

Shouwa Genroku Rakugo Shinjuu is a story set in both the past and present, depicting the art of rakugo, the relationships it creates, and the lives and hearts of those dedicated to keeping the unique form of storytelling alive.",8.57
Boruto: Naruto the Movie,"Action, Adventure, Fantasy",Pierrot,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. Upon learning that his father will watch the aspiring ninjas who will participate in the upcoming Chunin exams, Boruto is driven to prove to him that he is worthy of his attention. In order to do so, he enlists the help of Naruto's childhood friend and rival, Sasuke Uchiha. 

The Chunin exams begin and progress smoothly, until suddenly, the Konohagakure is attacked by a new foe that threatens the long-standing peace of the village. Now facing real danger, Naruto and his comrades must work together to protect the future of their cherished home and defeat the evil that terrorizes their world. As this battle ensues, Boruto comes to realize the struggles his father once experienced—and what it truly means to be a ninja.",7.4
Yu☆Gi☆Oh! The Dark Side of Dimensions,Adventure,Gallop,"Obsessed with revenge against the King of Games, Seto Kaiba commences an excavation in Egypt to find the fragments of the Millennium Puzzle, which once retained the spirit of the ""counterpart Yuugi."" However, a cloaked man steals two pieces of the Puzzle and disappears before it could be reconstructed. Meanwhile, now in their final year of high school, Yuugi Mutou and his friends plan for their futures, unaware of the danger lurking close by. 

Yu☆Gi☆Oh! The Dark Side of Dimensions tells the tale of vindictive forces distorting reality in whatever way they please. Will Seto and Yuugi move past their differences and save the world, or will Seto's own greed get the better of him?",7.5
Futa-bu!!,"Girls Love, Hentai",Studio 9 Maiami,"A relaxing vacation at the Manra Valley onsen is just what the members of the Futabu, or Futanari Club, signed up for. Officially, their goal is to research the harvest festival native to the area for a high school project. Unofficially, they're there to have a little fun, and the springs are an aphrodisiac...",7.21
3-gatsu no Lion meets Bump of Chicken,Drama,UNKNOWN,"A CGI music video of Sangatsu no Lion set to Bump of Chicken's ""Fighter"" single. The website states that the collaboration started because the mangaka Umino Chika is a fan of Bump of Chicken and the members of Bump of Chicken are fans of Sangatsu no Lion. A special edition of the manga's 10th compiled volume shipped on November 28 with this single.

(Source: ANN)",7.03
Bakemono no Ko,"Adventure, Fantasy",Studio Chizu,"Two souls, living very different lives, wander alone and isolated in their respective worlds. For nine-year-old Ren, the last person who treated him with any form of kindness has been killed, and he is shunned by what is left of his family. With no parents, no real family, and no place to go, Ren escapes into the confusing streets and alleyways of Shibuya. Through the twists and turns of the alleys, Ren stumbles into the intimidating Kumatetsu, who leads him to the beast realm of Shibuten.

For Kumatetsu, the boy represents a chance for him to become a candidate to replace the lord of the realm once he retires. While nearly unmatched in combat, Kumatetsu's chilly persona leaves him with no disciples to teach and no way to prove he is worthy of becoming the lord's successor. 

While the two share different goals, they agree to help each other in order to reach them. Kumatetsu searches for recognition; Ren, now known as Kyuuta, searches for the home he never had. As the years pass by, it starts to become apparent that the two are helping each other in more ways than they had originally thought. Perhaps there has always been less of a difference between them, a boy and a beast, than either of the two ever realized.",8.25
Himouto! Umaru-chan,Comedy,Doga Kobo,"People are not always who they appear to be, as is the case with Umaru Doma, the perfect high school girl—that is, until she gets home! Once the front door closes, the real fun begins. When she dons her hamster hoodie, she transforms from a refined, over-achieving student into a lazy, junk food-eating otaku, leaving all the housework to her responsible older brother Taihei. Whether she's hanging out with her friends Nana Ebina and Kirie Motoba, or competing with her self-proclaimed ""rival"" Sylphinford Tachibana, Umaru knows how to kick back and have some fun!

Himouto! Umaru-chan is a cute story that follows the daily adventures of Umaru and Taihei, as they take care of—and put up with—each other the best they can, as well as the unbreakable bonds between friends and siblings.",7.11
"Wake Up, Girls! Seishun no Kage",Drama,"Ordet, Millepensee","Movie sequel of Wake Up, Girls!, announced at Wake Up, Girls! Festa.2014 Winter.",7.17
Koe no Katachi,"Award Winning, Drama",Kyoto Animation,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.",8.94
Kaitou Joker 2nd Season,"Adventure, Comedy, Mystery",Shin-Ei Animation,"Second season in the Kaitou Joker anime series.

The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure.

(Source: ANN)",7.23
New Initial D Movie: Legend 2 - Tousou,UNKNOWN,"SANZIGEN, LIDENFILMS","After witnessing the race between Takumi Fujiwara's Toyota AE86 and Keisuke Takahashi's Mazda RX7, Takeshi Nakazato from the Myougi Night Kids sends out a challenge to defeat the AE86 in a downhill battle. Despite his Nissan Skyline GT-R completely outclassing the AE86, Nakazato is told that he will never beat Takumi—a statement that enrages him. Believing that grip racing is far superior to flashy drift racing, Nakazato is dead set on defeating the AE86 to prove that he is the better racer.

Thanks to Itsuki Takeuchi's hasty acceptance of the match on his behalf, Takumi is reluctant to get involved with the challenge and chooses not to race, stating that he is not a racer by any means. Overseeing the dilemma, Takumi's employer goads him into accepting. However, when Takumi returns home to get the AE86, he finds that his father has taken the car out for himself. As he waits for his father's return, Takumi begins to feel his itch to race grow ever more.",7.79
Haikyuu!! Second Season,Sports,Production I.G,"Following their participation at the Inter-High, the Karasuno High School volleyball team attempts to refocus their efforts, aiming to conquer the Spring tournament instead. 

When they receive an invitation from long-standing rival Nekoma High, Karasuno agrees to take part in a large training camp alongside many notable volleyball teams in Tokyo and even some national level players. By playing with some of the toughest teams in Japan, they hope not only to sharpen their skills, but also come up with new attacks that would strengthen them. Moreover, Hinata and Kageyama attempt to devise a more powerful weapon, one that could possibly break the sturdiest of blocks. 

Facing what may be their last chance at victory before the senior players graduate, the members of Karasuno's volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and new—including their archrival Aoba Jousai and its world-class setter Tooru Oikawa.",8.63
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Action, Adventure, Fantasy",A-1 Pictures,"Off-duty Japan Self-Defense Forces (JSDF) officer and otaku Youji Itami is on his way to attend a doujin convention in Ginza, Tokyo when a mysterious portal in the shape of a large gate suddenly appears. From this gate, supernatural creatures and warriors clad in medieval armor emerge, charging through the city, killing and destroying everything in their path. With swift actions, Youji saves as many lives as he can while the rest of the JSDF direct their efforts toward stopping the invasion.

Three months after the attack, Youji has been tasked with leading a special recon team, as part of a JSDF task force, that will be sent to the world beyond the gate—now being referred to as the ""Special Region."" They must travel into this unknown world in order to learn more about what they are dealing with and attempt to befriend the locals in hopes of creating peaceful ties with the ruling empire. But if they fail, they face the consequence of participating in a devastating war that will engulf both sides of the gate.",7.69
Owari no Seraph: Nagoya Kessen-hen,"Action, Drama, Supernatural",Wit Studio,"Yuuichirou Hyakuya is finally reunited with his childhood friend Mikaela Hyakuya, whom he had long presumed to be dead. Upon their reunion, however, he discovers that Mikaela has been turned into a vampire. Determined to help his friend, Yuuichirou vows to get stronger so that he can protect Mikaela as well as the comrades in the Moon Demon Company.
 
Kureto Hiiragi receives information that a large group of vampires will be gathering in Nagoya, preparing for their assault on the Imperial Demon Army's main forces in Tokyo. Led by Guren Ichinose, Yuuichirou's team is one of many selected to intercept and eliminate the vampire nobles.
 
With the Nagoya mission quickly approaching, the members of Shinoa squad continue to work towards fully mastering their weapons, while learning how to improve their teamwork. Yuuichirou must gain the power he needs to slay the nobles and save his best friend, before he succumbs to the demon of the Cursed Gear.",7.62
Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Mystery, Slice of Life, Supernatural",Artland,"On a warm summer day, a boy heard the sound of bells ringing, as if in celebration, in the mountain near his home. Several years later in that same mountain, the mushishi Ginko encounters a strange girl with weeds growing out of her body. Soon after, Ginko coincidentally runs into the now grown-up boy Yoshiro on his way off the mountain. With Yoshiro's help, Ginko soon begins to uncover who this mysterious girl is and what happened to her.

An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko's peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home.",8.59
Idol☆Sister,Hentai,Silver,"Former members of the idol group IKB31, Ayaka Takano, Maki Kamii and Maina Ooizumi, form a new group called Platinum Kiss. One of the biggest reasons for their success onstage would be their manager, Ayaka's older brother, despite his perverted nature. 

On the day before their next concert, he informs the girls that he might not be able to attend, causing them to feel very anxious. In the girls' desperate effort to find him, he turns out to be peeping at their every action. With one hour left before their performance, he helps them in ""calming their nerves”.",7.05
Gintama°,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.

Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.",9.06
To LOVE-Ru Darkness 2nd,"Comedy, Romance, Sci-Fi, Ecchi",Xebec,"The dispassionate, transforming assassin Golden Darkness returns to peer deeper into the mysteries surrounding her new life, while a sinister Nemesis manipulates her younger sister Mea from the shadows. Along with their newly discovered mother, Tearju, this previously estranged family quickly becomes the center of everyone's attention. On the other hand, Princess Momo's Harem Plan stands on shaky ground amidst Rito's inability to confess to his longtime crush Haruna, who has grown feelings of her own.

But things aren't as peaceful as they seem; an evil force looms amidst the innocuous commotion, threatening to eclipse the love, happiness, and friendship of Rito and his harem. Only the light of love can hope to banish the shadow.",7.44
Charlotte,Drama,P.A. Works,"If not for his ability to take over people's mind and body, Yuu Otosaka would be an ordinary high school student. Though it only lasts for five seconds at a time, Yuu's mysterious power allowed him to cheat his way to the top of his class and  enter a prestigious high school, where he continues his dishonest acts.

His shenanigans are eventually stopped by Nao Tomori—the headstrong student council president from Hoshinoumi Academy—who sees through his deceit. Through coercion, Nao convinces Yuu to transfer to Hoshinoumi and join the student council. Hoshinoumi Academy is secretly an institution created for adolescents who possess supernatural abilities—with the student council serving as a means of locating those who abuse their powers.

With Yuu begrudgingly assisting in council affairs, the group sets out to find and protect new ability users from harm. However, as they further investigate the abilities, their findings entangle them in far more complicated matters than they could ever imagine.",7.75
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,"Comedy, Romance",Seven,"The Tsunashi couple is as lively and offbeat as ever. Hardcore otaku shut-in Hajime and workaholic office lady Kaoru still get themselves into hilarious situations thanks to both their own eccentric natures and the bizarre group of friends surrounding them.

After learning about Kaoru's pregnancy, Hajime works harder than ever to become a good husband and a worthy father. Meanwhile, Kaoru reflects on their relationship and remembers all of the trials and tribulations that brought them closer. The two of them continue to put their best foot forward in their lives and their marriage—all for the sake of long-lasting, selfless love.",7.32
Lovely x Cation The Animation,Hentai,T-Rex,"The protagonist lives alone in an apartment owned by his uncle and lives a carefree school life. One spring day, his uncle can't stand seeing him confining himself in his room any more and tells him to go out and find love while he is still young; however, he doesn't have any experience with girls nor does he have anyone that he's interested in.",7.19
Grisaia no Meikyuu: Caprice no Mayu 0,Drama,8bit,"Having attended Mihama Academy for about a year, Yuuji Kazami has seemingly found his place within the school, but he suddenly decides to pursue a promotion in CIRS. After consulting JB about his intentions, they both thoroughly examine Yuuji's documents and dissect the events of his upbringing to determine if the job is fit for him.

Meanwhile, unbeknownst to the two, the girls of Mihama uncover some torn documents in Yuuji's room. After restoring the papers, they discover the story that has formed—or perhaps broken—Yuuji into the man he is today. However, what was thought to be history has haunted him to the present, and the chains of the past begin to drag him back into the darkness...",7.84
Grisaia no Rakuen,"Drama, Romance",8bit,"Grisaia no Rakuen begins right at the end of the previous installment, Grisaia no Meikyuu. Kazami Yuuji is arrested under suspicion for terrorism. A video showing apparently concrete proof that Yuuji committed these acts, and he is held in custody by Ichigaya.

Ichigaya knows full well that Yuuji didn't commit the crimes he has been accused of. But he did fail to assassinate Heath Oslo, who is the leader of the terrorist organization with an extremely devastating weapon in their possession. In fact, Ichigaya have their own plans for Yuuji... 

But all may not be lost for Yuuji. The girls of the Mihama Academy are not about to let Yuuji be used for political gain, and neither may the mysterious new figure which appears before them.",7.76
Sore ga Seiyuu!,"Comedy, Slice of Life",Gonzo,"Dreaming of becoming a top-tier professional in the fast-paced, competitive world of voice acting, rookie Futaba Ichinose frantically scurries around, searching for auditions and performance sessions. Rubbing elbows with some of the biggest names in the industry, she tries to find her own unique voice and style.
 
Along the way, she befriends two important allies: Ichigo Moesaki, an aspiring idol who claims to be a princess from another planet, and Rin Kohana, a cheerful child actress who tries her best to balance her career and school at the same time. Together, the girls brave the ups and downs of the entertainment industry—but as for Futaba, whose performance assessment at her agency is just around the corner, her career might be over sooner than expected! Sore ga Seiyuu! is a humorous and sincere celebration of the industry that gives anime its voice.",7.04
Genkaku Cool na Sensei ga Aheboteochi!,Hentai,Peak Hunt,"Hazuki Mizushiro is a very popular teacher in school. One day, student Aoi gets enough courage to write a love letter to her. Much to his enjoyment, she responds to this letter.",7.24
Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,"Comedy, Romance, Ecchi",A-1 Pictures,"Tomoya Aki, Megumi Katou, Eriri Spencer Sawamura, Utaha Kasumigaoka and Tomoya's cousin Michiru Hyoudou (all members of a doujin circle called Blessing Software) go out location scouting for their project, a video game. As Eriri attempts to get Megumi to act out a scenario for the main heroine, Utaha lures Tomoya away and forces him to act out a romantic scenario with her.

(Source: Wikipedia)",7.07
Koukaku Kidoutai Arise: Alternative Architecture,Sci-Fi,Production I.G,"A TV anime version of Ghost in the Shell: Arise. The first eight episodes are an edited version of the four movies while the last two features a new arc called ""Pyrophoric Cult.""

The plot involves the ""Fire Starter"" virus explored previously, and introduces the new character Pyromania. The episode will have ties to the upcoming film.

(Source: Wikipedia)",7.23
Mankitsu Happening,Hentai,Collaboration Works,"Keiichi Oyamada has a mysterious power that always makes him seem like a lucky pervert, as one way or another, he ends up having sexual intercourse with any female he meets. Due to this, he has never had a stable job as he continually gets fired from any place unfortunate enough to employ him. 

One job opportunity arises when his best friend calls him to work at a manga cafe, which Keiichi reluctantly accepts. However, as soon as he starts his new job, he meets Rei Suzukawa, a fellow employee, and Kururu Hiiragi, his childhood friend. Both of them are very beautiful, and Keiichi fears that even they might not be spared by his lucky perverted powers.",7.7
Kuroko no Basket: Oshaberi Demo Shimasen ka,"Comedy, Sports",Production I.G,Special included on Kuroko no Basket Fan Disc 2: Hikari Sasu Basho e.,7.22
Haikyuu!! Movie 1: Owari to Hajimari,Sports,Production I.G,"After watching a volleyball match on TV where the ""Little Giant"" of Karasuno High School helps his team secure a hard-fought victory, young and impressionable Shouyou Hinata begins to play the sport in hopes that he too can soar high one day. Now enrolled at the same school as his idol, he attempts to join the volleyball team despite his short stature. Unfortunately, upon his arrival, Hinata locks eyes with ""King of the Court"" Tobio Kageyama—a genius setter whom he had once suffered a bitter defeat to in middle school.

Their unfriendly introduction and subsequent rivalry forces the rest of the Karasuno team to bar both of them from joining the club until they can learn to work together as teammates. Though reluctant to cooperate, their desire to play volleyball causes them to return with a proposal that will show the other members that they are capable of teamwork. As the two freshmen form an odd setter-and-ace relationship, an old rival school invites Karasuno for practice matches, reigniting competition between the two schools once more.",8.0
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"Comedy, Ecchi",J.C.Staff,"With the introduction of strict new morality laws, Japan has become a nation cleansed of all that is obscene and impure. By monitoring citizens using special devices worn around their necks, authorities have taken extreme measures to ensure that society remains chaste. 

In this world of sexual suppression, Tanukichi Okuma—son of an infamous terrorist who opposed the chastity laws—has just entered high school, offering his help to the student council in order to get close to president Anna Nishikinomiya, his childhood friend and crush. Little does he know that the vice president Ayame Kajou has a secret identity: Blue Snow, a masked criminal dedicated to spreading lewd material amongst the sheltered public—and Tanukichi has caught the girl's interest due to his father's notoriety.

Soon, Tanukichi is dragged into joining her organization called SOX, where he is forced to spread obscene propaganda, helping to launch an assault against the government's oppressive rule. With their school set as the first point of attack, Tanukichi will have to do the unthinkable when he realizes that their primary target is the person he admires most.",7.24
Gochuumon wa Usagi desu ka??,Slice of Life,"Kinema Citrus, White Fox","With a new year comes new adventures, especially at the Rabbit House! Since her arrival at the café, Kokoa Hoto has become accustomed to her new life as a waitress even though the Rabbit House isn't the rabbit paradise she initially envisioned it to be. Life is pleasant, and she enjoys spending time both working and playing with her friends and fellow waitresses Chino Kafuu, a cute middle school student with a fuzzy bunny companion named Tippy, and Rize Tedeza, the pig-tailed daughter of a soldier who is readily armed for any scenario.

Together with Chiya Ujimatsu and Sharo Kirima, who also work at neighboring cafés in town, the Rabbit House crew gets involved in all sorts of crazy adventures. Throughout these adventures, the girls encounter troubled novelists, rival cafes, secret treasure, and... alcoholic chocolates?",7.78
Overlord,"Action, Adventure, Fantasy",Madhouse,"The final hour of the popular virtual reality game Yggdrasil has come. However, Momonga, a powerful wizard and master of the dark guild Ainz Ooal Gown, decides to spend his last few moments in the game as the servers begin to shut down. To his surprise, despite the clock having struck midnight, Momonga is still fully conscious as his character and, moreover, the non-player characters appear to have developed personalities of their own!

Confronted with this abnormal situation, Momonga commands his loyal servants to help him investigate and take control of this new world, with the hopes of figuring out what has caused this development and if there may be others in the same predicament.",7.91
Honoo no Haramase Paidol My★Star Gakuen Z The Animation,Hentai,T-Rex,Based on the adult novel by Minami Ebinuma and Squeez.,7.05
Namaiki: Kissuisou e Youkoso! The Animation,Hentai,G-Lam,"Satoshi Ashifuji is a working student attending university under a scholarship.
Somehow, he ends up with the custody of the dormitory Kissuisou, but its residents are all women with big problems!
Furthermore, when fixing the dorm's clock tower, a self-proclaimed Zashiki-warashi who calls herself Ibaraki appears, beckoning even more trouble.

With all those currently residing emanating such ridiculously negative auras, if nothing changes within half a year some terrible misfortune would befall the dorm which would get demolished regardless of its condition.
If that happens, with no place left to go, all that negativity would pile themselves onto Satoshi, paving a future life of hell for him.

To avoid such a disaster, Satoshi decides to inject some positivity infused with Ibaraki's powers into the lives of the residents.
In other words, it doesn't matter where they do it as long as he comes inside!

In this way, the overly reckless ejaculation strategy with regards to the dorm's residents Satoshi bet his life on commences.

(Source: VNDB)",7.11
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,"Comedy, Drama, Slice of Life",TYO Animations,The second movie of a four-part finale of Tamayura.,7.76
